BPLP - 1 Digit Level,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
"2307, NSW",3164,105,41,51,67,172,67,18,72,0,152,3905
"2308, NSW",905,36,5,19,87,125,37,19,46,0,58,1327
"2311, NSW",763,23,0,0,4,0,0,0,4,0,69,861
"2312, NSW",1246,81,7,0,5,0,5,5,3,0,97,1453
"2314, NSW",111,0,0,0,0,0,0,0,0,0,90,203
"2315, NSW",11316,1200,224,48,151,88,58,156,132,6,1278,14655
"2316, NSW",4707,399,54,13,39,11,4,52,38,5,525,5846
"2317, NSW",4954,539,74,17,50,34,18,56,68,0,426,6241
"2318, NSW",10215,618,86,9,94,34,13,63,71,0,949,12149
"2319, NSW",5520,446,45,11,45,11,6,29,25,0,550,6685
"2320, NSW",30189,1094,161,40,206,85,224,159,259,8,2131,34559
"2321, NSW",13060,468,39,11,101,28,49,46,56,0,771,14624
"2322, NSW",16219,602,115,24,183,171,85,57,76,0,915,18453
"2323, NSW",22313,791,141,70,256,143,264,105,139,6,1516,25736
"2324, NSW",20034,1057,167,30,208,56,78,82,91,3,1840,23651
"2325, NSW",24509,907,110,35,195,69,84,95,63,7,2385,28459
"2326, NSW",6497,188,25,5,32,7,5,18,13,0,555,7333
"2327, NSW",6658,200,23,0,62,6,20,20,8,4,615,7610
"2328, NSW",2096,70,14,4,10,9,6,8,7,0,231,2438
"2329, NSW",1762,55,8,0,17,4,5,0,3,0,251,2111
"2330, NSW",17430,544,67,24,194,76,71,90,133,0,1717,20349
"2331, NSW",296,5,0,0,4,0,0,3,4,0,4,318
"2333, NSW",11782,309,55,23,169,67,113,48,89,0,991,13645
"2334, NSW",2512,91,16,0,23,0,11,3,13,0,164,2829
"2335, NSW",5368,207,18,3,32,9,5,22,25,0,460,6156
"2336, NSW",2257,62,4,0,17,3,0,3,9,0,250,2614
"2337, NSW",6521,252,15,5,114,49,33,46,36,0,819,7889
"2338, NSW",1149,53,3,6,4,5,20,5,3,0,182,1432
"2339, NSW",543,18,0,0,0,0,6,0,0,0,116,677
"2340, NSW",41976,952,140,75,684,458,392,151,212,3,4019,49070
"2341, NSW",1321,33,5,0,4,5,0,5,0,0,193,1572
"2342, NSW",395,17,0,0,0,0,0,0,0,0,51,465
"2343, NSW",4313,117,19,0,10,12,11,12,9,0,461,4968
"2344, NSW",633,19,9,0,3,0,0,0,0,0,94,756
"2345, NSW",642,13,0,0,0,0,0,3,0,0,62,720
"2346, NSW",2663,75,9,0,8,5,7,11,4,0,366,3147
"2347, NSW",1586,66,0,0,12,0,7,9,8,0,242,1933
"2350, NSW",20398,933,110,360,336,346,494,242,212,10,1886,25336
"2351, NSW",718,12,0,10,5,20,9,9,5,0,182,976
"2352, NSW",2436,72,9,0,11,3,5,15,3,0,167,2715
"2353, NSW",939,40,3,0,6,0,0,3,4,0,134,1124
"2354, NSW",2993,88,9,5,10,11,3,11,3,0,450,3574
"2355, NSW",521,29,4,0,3,0,0,0,0,0,101,664
"2356, NSW",140,3,0,0,0,0,0,0,0,0,12,160
"2357, NSW",3441,143,20,0,17,8,19,12,10,0,480,4159
"2358, NSW",3267,132,7,6,16,3,3,14,8,0,317,3772
"2359, NSW",634,22,0,0,0,0,0,0,0,0,76,736
"2360, NSW",12359,308,34,16,216,51,21,149,50,0,1322,14524
"2361, NSW",738,30,17,0,0,0,0,0,10,0,114,909
"2365, NSW",3183,98,8,0,10,28,7,20,0,0,368,3726
"2369, NSW",763,25,3,0,0,5,0,0,0,0,124,923
"2370, NSW",6387,233,21,13,37,23,41,22,18,0,885,7683
"2371, NSW",917,60,9,0,6,0,0,4,4,0,163,1155
"2372, NSW",3855,167,29,0,32,12,10,18,13,0,605,4742
"2379, NSW",263,9,0,0,0,0,0,0,5,0,31,316
"2380, NSW",9042,160,22,9,63,53,29,43,38,0,930,10390
"2381, NSW",1026,22,3,0,5,0,0,0,0,0,131,1190
"2382, NSW",1144,15,0,0,6,6,8,0,3,0,144,1322
"2386, NSW",297,6,0,0,3,0,0,0,3,0,47,356
"2387, NSW",164,0,0,0,0,0,0,0,0,0,33,199
"2388, NSW",2143,44,3,0,14,5,6,17,9,0,435,2673
"2390, NSW",7410,138,18,5,52,12,44,29,32,0,1019,8755
"2395, NSW",542,31,4,0,10,0,0,3,0,0,82,669
"2396, NSW",762,13,0,0,0,0,9,0,0,0,70,856
"2397, NSW",325,4,0,0,0,0,0,0,0,0,47,380
"2398, NSW",210,0,0,0,0,0,0,0,0,0,21,236
"2399, NSW",468,13,0,0,0,0,0,0,0,0,113,596
"2400, NSW",8250,124,66,11,75,29,63,32,38,3,1387,10083
"2401, NSW",277,7,0,0,0,0,0,0,0,0,32,321
"2402, NSW",1562,28,5,0,8,0,6,6,3,0,172,1789
"2403, NSW",615,13,0,0,0,0,0,4,0,0,86,720
"2404, NSW",1551,47,0,0,5,0,5,0,0,0,223,1837
"2405, NSW",437,6,0,0,0,0,0,4,0,0,59,512
"2408, NSW",305,10,0,0,0,0,0,0,3,0,50,372
"2409, NSW",918,9,0,0,4,0,0,3,3,0,93,1027
"2410, NSW",238,9,0,0,0,0,0,0,0,0,33,281
"2411, NSW",98,0,0,0,0,0,0,0,0,0,14,121
"2415, NSW",332,22,0,0,0,0,0,0,0,0,40,390
"2420, NSW",3453,124,5,0,6,5,5,10,11,0,390,4022
"2421, NSW",1643,56,0,0,5,5,0,4,0,0,120,1831
"2422, NSW",4535,246,24,0,21,8,13,17,12,0,454,5334
