,postcode,average_salary
735,"3135, VIC",695.63
736,"3136, VIC",664.74
737,"3137, VIC",614.62
738,"3138, VIC",624.65
739,"3139, VIC",577.77
740,"3140, VIC",624.63
741,"3141, VIC",1071.55
742,"3142, VIC",1215.89
743,"3143, VIC",1036.62
744,"3144, VIC",1070.14
745,"3145, VIC",854.35
746,"3146, VIC",955.67
747,"3147, VIC",776.09
748,"3148, VIC",665.16
749,"3149, VIC",706.54
750,"3150, VIC",670.54
751,"3151, VIC",610.70
752,"3152, VIC",660.20
753,"3153, VIC",597.89
754,"3154, VIC",632.11
755,"3155, VIC",606.87
756,"3156, VIC",653.20
757,"3158, VIC",696.72
758,"3159, VIC",658.40
759,"3160, VIC",678.04
760,"3161, VIC",913.73
761,"3162, VIC",842.10
762,"3163, VIC",767.70
763,"3165, VIC",716.02
764,"3166, VIC",672.54
765,"3167, VIC",631.93
766,"3168, VIC",468.31
767,"3169, VIC",524.83
768,"3170, VIC",623.18
769,"3171, VIC",414.23
770,"3172, VIC",541.05
771,"3173, VIC",548.18
772,"3174, VIC",466.45
773,"3175, VIC",442.42
774,"3177, VIC",406.45
775,"3178, VIC",679.90
776,"3179, VIC",603.25
777,"3180, VIC",624.46
778,"3181, VIC",1008.97
779,"3182, VIC",949.67
780,"3183, VIC",874.68
781,"3184, VIC",1045.28
782,"3185, VIC",899.38
783,"3186, VIC",1057.36
784,"3187, VIC",875.91
785,"3188, VIC",875.32
786,"3189, VIC",684.05
787,"3190, VIC",771.33
788,"3191, VIC",940.57
789,"3192, VIC",719.20
790,"3193, VIC",924.36
791,"3194, VIC",784.67
792,"3195, VIC",754.39
793,"3196, VIC",688.73
794,"3197, VIC",727.81
795,"3198, VIC",606.60
796,"3199, VIC",606.16
797,"3200, VIC",416.93
798,"3201, VIC",542.97
799,"3202, VIC",666.61
800,"3204, VIC",775.10
801,"3205, VIC",1012.70
802,"3206, VIC",1119.10
803,"3207, VIC",1116.69
804,"3211, VIC",613.21
805,"3212, VIC",584.01
806,"3213, VIC",619.38
807,"3214, VIC",400.21
808,"3215, VIC",575.94
809,"3216, VIC",627.77
810,"3217, VIC",663.41
811,"3218, VIC",688.09
812,"3219, VIC",543.73
813,"3220, VIC",783.13
814,"3221, VIC",759.45
815,"3222, VIC",575.96
816,"3223, VIC",535.62
817,"3224, VIC",578.87
818,"3225, VIC",713.56
819,"3226, VIC",661.22
820,"3227, VIC",739.26
821,"3228, VIC",713.24
822,"3230, VIC",685.31
823,"3231, VIC",716.79
824,"3232, VIC",684.45
825,"3233, VIC",561.30
826,"3234, VIC",805.59
827,"3235, VIC",634.74
828,"3236, VIC",495.43
829,"3237, VIC",636.01
830,"3238, VIC",591.10
831,"3239, VIC",505.08
832,"3240, VIC",649.09
833,"3241, VIC",525.15
834,"3242, VIC",582.49
835,"3243, VIC",584.59
836,"3249, VIC",537.45
837,"3250, VIC",532.64
838,"3251, VIC",532.18
