INCP Total Personal Income (weekly),Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable,Total
"2845, NSW",8,101,58,134,154,173,124,118,124,100,72,34,48,60,27,201,436,1978
"2846, NSW",0,16,13,19,38,37,15,13,17,11,6,6,0,0,0,40,51,277
"2847, NSW",8,153,77,167,257,242,160,148,137,129,67,55,46,62,34,281,416,2426
"2848, NSW",13,86,59,166,220,224,87,93,62,62,27,17,10,28,15,227,256,1650
"2849, NSW",16,110,34,120,164,166,107,94,71,69,53,30,18,48,21,154,251,1547
"2850, NSW",69,927,579,1083,1482,1339,1110,1086,1014,943,573,474,431,786,395,1691,3667,17645
"2852, NSW",23,228,99,209,276,314,232,194,189,142,87,88,73,140,43,441,765,3542
"2864, NSW",14,46,27,48,61,56,42,51,56,60,42,32,11,24,7,64,170,805
"2865, NSW",3,54,24,56,59,59,58,53,45,53,38,41,13,28,8,103,164,868
"2866, NSW",10,188,87,150,256,255,210,203,205,186,107,88,65,84,42,242,713,3100
"2867, NSW",8,28,16,34,60,41,38,41,39,33,21,13,12,12,7,49,140,599
"2868, NSW",6,39,15,40,76,56,42,46,40,27,27,12,12,7,11,77,130,649
"2869, NSW",8,64,65,122,159,159,98,80,68,67,53,30,21,22,10,180,231,1442
"2870, NSW",59,657,409,737,986,915,796,775,754,680,484,364,288,350,134,1139,2502,12038
"2871, NSW",41,499,274,509,824,808,665,690,616,576,321,260,147,199,86,927,1899,9350
"2873, NSW",14,18,17,35,53,50,30,15,27,32,12,19,10,11,18,104,100,558
"2874, NSW",9,23,10,40,40,40,23,28,34,27,10,9,7,7,0,48,67,423
"2875, NSW",9,49,23,68,75,80,77,58,64,56,23,27,25,20,10,109,191,969
"2876, NSW",6,31,15,29,29,26,31,27,21,16,8,9,9,8,0,59,94,421
"2877, NSW",31,171,78,259,350,307,276,244,258,226,115,109,60,76,56,392,876,3880
"2878, NSW",0,22,4,16,10,21,10,18,23,20,8,14,8,5,13,117,58,371
"2879, NSW",0,35,19,67,57,71,37,28,25,18,17,11,7,14,8,119,111,636
"2880, NSW",73,897,513,1319,1837,1727,1248,1116,962,1018,690,552,497,624,197,1942,3058,18276
"2898, NSW",0,14,8,8,31,28,25,37,35,38,14,18,6,17,5,38,51,381
"3000, VIC",379,9718,1259,1878,2162,2051,2168,1913,2100,2231,1618,1321,890,1475,925,4687,1214,37979
"3002, VIC",23,231,96,154,125,168,198,209,296,383,382,372,272,529,615,607,299,4957
"3003, VIC",36,586,150,242,252,247,258,273,336,456,331,310,202,351,223,865,395,5516
"3004, VIC",32,777,170,248,263,315,333,405,608,798,698,650,485,935,787,1234,563,9311
"3005, VIC",5,33,0,25,14,18,21,23,22,25,25,29,20,42,36,135,49,523
"3006, VIC",103,2404,386,585,644,690,799,914,1342,1625,1285,1099,856,1584,1145,2454,904,18811
"3008, VIC",86,1574,217,322,347,313,408,450,622,791,736,640,456,867,636,1232,743,10438
"3010, VIC",8,444,422,318,107,44,48,19,14,13,6,11,5,26,16,80,13,1595
"3011, VIC",94,1685,655,1478,1518,1364,1278,1195,1498,1608,1218,960,661,1094,409,2074,2684,21464
"3012, VIC",110,2109,728,1621,1739,1651,1425,1549,1910,1919,1416,1186,816,1169,481,2013,4453,26295
