OCCP - 1 Digit Level,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
"2257, NSW",1286,2123,1827,1459,1681,1126,628,1206,130,105,17441,29009
"2258, NSW",320,550,378,276,415,238,167,214,22,12,2573,5167
"2259, NSW",2580,3488,4019,3153,3282,2777,1975,2959,269,183,34815,59513
"2260, NSW",1680,3106,1509,1295,1551,1112,291,699,102,57,12012,23418
"2261, NSW",2348,3665,3836,2860,2987,2656,1404,2467,232,146,30152,52751
"2262, NSW",702,879,1395,1166,994,933,815,1162,80,75,12633,20828
"2263, NSW",745,1158,1491,1175,1059,984,786,1149,89,57,15576,24263
"2264, NSW",500,976,953,638,714,479,413,629,46,48,8832,14233
"2265, NSW",202,533,382,228,307,174,168,277,25,19,3500,5809
"2267, NSW",115,210,186,130,138,91,77,102,4,11,1690,2757
"2278, NSW",78,121,279,136,188,131,143,174,13,13,1295,2571
"2280, NSW",1222,2347,1927,1376,1701,1184,673,1067,82,52,15053,26682
"2281, NSW",612,963,1007,687,775,586,399,625,51,41,8536,14273
"2282, NSW",774,1735,908,740,1084,688,311,497,50,17,7967,14775
"2283, NSW",927,1737,1480,1137,1251,928,700,983,82,83,13972,23297
"2284, NSW",402,760,727,587,575,485,399,495,51,24,6005,10498
"2285, NSW",1314,2532,2375,1623,2233,1548,1105,1437,133,85,16324,30715
"2286, NSW",125,229,342,212,209,169,195,230,7,9,2181,3909
"2287, NSW",1420,3473,2465,1908,2284,1605,1174,1669,146,99,20148,36400
"2289, NSW",1068,2649,1246,964,1385,872,375,655,87,51,9766,19118
"2290, NSW",1550,3603,2314,1723,2201,1527,798,1293,116,87,18212,33422
"2291, NSW",960,2529,746,794,849,576,185,360,52,40,6322,13413
"2292, NSW",120,338,167,166,191,125,54,115,6,10,1168,2465
"2293, NSW",170,468,156,191,196,102,38,80,18,3,1110,2521
"2294, NSW",100,309,130,123,130,65,54,85,15,5,916,1929
"2295, NSW",266,553,430,319,353,177,191,239,30,11,4362,6925
"2296, NSW",107,301,140,158,127,75,34,76,11,0,862,1883
"2297, NSW",69,258,101,122,77,45,36,65,14,4,888,1683
"2298, NSW",326,1053,546,614,566,454,256,396,30,26,5229,9499
"2299, NSW",403,1245,645,665,574,489,261,452,48,24,6410,11205
"2300, NSW",755,2407,548,681,646,398,119,240,56,28,4697,10579
"2302, NSW",34,97,30,26,45,26,6,19,6,4,279,565
"2303, NSW",532,1373,422,538,520,382,137,281,31,25,4891,9145
"2304, NSW",594,1725,939,927,906,680,413,721,45,43,8185,15177
"2305, NSW",684,1937,684,644,876,549,217,385,51,40,6433,12506
"2306, NSW",40,47,106,101,63,78,81,202,12,7,2619,3359
"2307, NSW",99,263,269,205,194,189,160,225,15,14,2278,3905
"2308, NSW",10,82,3,169,22,111,17,40,0,0,864,1327
"2311, NSW",82,38,54,27,46,19,31,62,3,4,491,861
"2312, NSW",57,61,91,68,62,51,62,72,0,8,922,1453
"2314, NSW",26,16,24,51,7,0,5,0,0,0,88,203
"2315, NSW",677,948,902,759,678,626,229,568,57,40,9161,14655
"2316, NSW",292,376,434,322,264,276,169,268,13,11,3427,5846
"2317, NSW",270,352,370,290,275,270,125,231,25,25,4005,6241
"2318, NSW",606,799,1028,680,774,498,480,531,64,42,6656,12149
"2319, NSW",189,231,418,335,289,231,238,292,27,26,4406,6685
"2320, NSW",1617,2497,2687,1691,1981,1617,1623,1559,144,92,19058,34559
"2321, NSW",745,1123,1259,726,900,657,721,631,54,36,7774,14624
