OCCP - 1 Digit Level,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
"3762, VIC",23,12,7,6,6,5,5,4,0,0,60,131
"3763, VIC",83,96,174,109,93,43,60,76,0,12,788,1536
"3764, VIC",488,583,685,454,541,369,342,447,42,23,5196,9161
"3765, VIC",402,640,659,347,500,305,150,300,34,22,3400,6764
"3766, VIC",90,181,97,75,79,48,33,33,8,4,581,1240
"3767, VIC",85,203,89,68,55,55,7,47,0,8,634,1253
"3770, VIC",258,216,357,146,226,155,107,205,18,9,1524,3222
"3775, VIC",332,321,361,179,242,191,107,180,16,25,1896,3865
"3777, VIC",641,769,919,590,540,360,324,580,41,69,5916,10753
"3778, VIC",9,9,18,10,11,9,6,22,3,0,97,199
"3779, VIC",32,17,21,25,15,28,7,23,0,0,226,394
"3781, VIC",233,328,502,241,312,159,182,275,18,11,2217,4471
"3782, VIC",532,752,805,404,504,330,212,335,22,16,3902,7824
"3783, VIC",143,217,273,112,134,86,89,110,11,0,1179,2350
"3785, VIC",3,16,4,0,5,0,0,0,0,0,41,77
"3786, VIC",128,245,104,75,82,62,17,49,7,9,740,1520
"3787, VIC",113,154,80,67,79,31,9,30,0,0,501,1059
"3788, VIC",184,233,127,95,92,56,14,54,11,7,862,1742
"3789, VIC",30,30,19,18,13,11,3,0,0,0,136,265
"3791, VIC",118,238,109,78,78,48,17,51,6,3,684,1440
"3792, VIC",71,152,87,58,47,32,21,40,6,0,543,1064
"3793, VIC",261,273,342,202,204,147,96,180,16,15,1844,3575
"3795, VIC",130,82,112,61,84,50,35,64,4,13,610,1249
"3796, VIC",610,826,995,601,682,466,301,451,54,35,4675,9698
"3797, VIC",174,148,300,180,175,119,135,210,11,23,1989,3474
"3799, VIC",240,314,461,309,219,187,223,336,17,24,3461,5800
"3800, VIC",27,74,5,98,34,93,8,28,0,0,1849,2211
"3802, VIC",1076,1953,1765,1115,1588,1138,960,1195,111,93,13303,24292
"3803, VIC",346,601,714,529,613,439,519,641,52,41,6358,10856
"3804, VIC",626,698,661,337,697,489,226,317,41,36,3968,8096
"3805, VIC",2660,3859,4490,2857,4125,3091,2477,2979,278,214,29905,56937
"3806, VIC",3234,4850,3432,2356,3751,2573,1253,1772,185,128,24984,48521
"3807, VIC",517,653,601,357,631,459,172,333,43,32,3294,7096
"3808, VIC",275,306,282,131,231,148,58,109,11,12,1467,3031
"3809, VIC",490,719,668,423,648,433,241,294,23,23,3252,7212
"3810, VIC",2098,2872,3739,2457,3022,2404,2025,2568,170,170,26366,47892
"3812, VIC",200,149,252,102,157,121,107,125,18,7,1075,2310
"3813, VIC",66,62,74,46,50,39,37,40,0,0,466,886
"3814, VIC",166,139,217,107,135,79,101,100,14,10,1193,2257
"3815, VIC",207,178,278,145,192,104,120,136,10,16,1636,3020
"3816, VIC",201,121,212,126,117,104,108,196,15,8,1511,2717
"3818, VIC",792,895,1009,633,653,507,490,840,65,48,8245,14170
"3820, VIC",848,1398,1123,823,854,622,376,863,60,45,8941,15952
"3821, VIC",333,265,221,122,154,100,81,183,4,11,1445,2918
"3822, VIC",94,63,85,50,44,29,37,58,3,3,523,983
"3823, VIC",123,126,127,107,98,88,66,108,6,3,993,1839
"3824, VIC",328,365,393,250,246,174,162,260,18,17,2789,5003
"3825, VIC",684,933,1466,1010,933,809,587,1020,91,79,12670,20282
"3831, VIC",150,135,120,68,81,49,62,80,9,3,950,1701
"3832, VIC",38,6,12,10,11,4,6,15,0,0,146,249
"3833, VIC",36,10,21,12,13,9,9,13,0,6,177,304
"3835, VIC",71,33,29,14,15,10,19,27,5,0,251,472
"3840, VIC",520,727,992,677,782,688,521,785,64,50,10673,16478
"3842, VIC",127,258,294,234,210,208,128,229,28,16,3062,4784
"3844, VIC",1355,2352,2235,1439,1866,1261,895,1313,149,82,16035,28981
"3847, VIC",178,133,162,99,88,81,86,111,10,10,1230,2191
"3850, VIC",708,1254,990,795,673,639,295,763,59,49,8559,14782
"3851, VIC",397,259,330,195,189,158,123,255,17,29,3746,5689
"3852, VIC",37,19,4,6,4,0,0,0,0,0,24,92
"3854, VIC",110,106,120,60,99,48,79,77,7,3,690,1400
"3856, VIC",46,60,81,45,62,48,60,58,6,3,522,992
"3857, VIC",25,31,32,15,18,15,16,30,0,0,178,368
"3858, VIC",261,117,199,132,125,99,136,184,10,12,1752,3026
"3859, VIC",130,51,63,27,38,19,31,47,0,7,405,834
"3860, VIC",427,478,557,387,340,209,272,389,18,27,4083,7171
"3862, VIC",267,179,261,165,141,124,116,174,10,14,1713,3157
"3864, VIC",31,9,17,17,8,4,3,18,0,0,108,218
"3865, VIC",33,21,32,15,21,15,15,35,3,3,250,445
"3869, VIC",110,108,156,80,97,60,76,69,7,8,850,1624
"3870, VIC",96,81,85,62,67,38,52,68,5,3,717,1265
"3871, VIC",232,204,201,119,121,99,82,122,9,13,1696,2904
"3873, VIC",35,22,12,11,14,9,16,22,0,0,183,323
"3874, VIC",63,28,38,26,19,19,10,45,0,4,308,558
"3875, VIC",949,1143,1126,927,846,826,487,1046,57,69,11151,18625
"3878, VIC",60,81,52,57,51,44,22,55,3,5,665,1098
"3880, VIC",140,205,190,180,126,128,60,131,10,13,2849,4037
"3882, VIC",68,43,74,55,65,48,30,70,0,5,635,1094
"3885, VIC",168,112,119,102,79,53,75,110,10,3,1039,1868
"3886, VIC",31,21,20,17,14,8,13,23,3,0,240,395
"3887, VIC",18,23,14,10,11,8,12,22,4,0,226,342
"3888, VIC",260,171,133,162,124,92,88,159,6,10,2208,3421
"3889, VIC",20,4,10,5,3,3,0,6,0,3,135,179
"3890, VIC",32,11,10,25,12,0,4,8,6,3,228,324
"3891, VIC",19,9,8,0,0,0,0,9,0,0,63,104
"3892, VIC",56,57,67,52,31,41,8,60,3,0,691,1060
"3893, VIC",10,4,0,0,0,0,0,0,0,0,6,22
"3895, VIC",36,9,12,10,8,0,10,11,0,0,100,194
"3896, VIC",47,30,22,19,7,5,18,24,0,0,241,405
"3898, VIC",80,30,37,46,24,14,26,64,4,4,458,790
"3900, VIC",36,8,3,5,7,3,0,13,0,3,71,151
"3902, VIC",25,13,31,14,21,16,12,30,3,4,242,412
"3903, VIC",43,42,47,42,36,21,17,31,0,0,466,746
"3904, VIC",81,104,83,60,74,54,15,53,5,0,920,1452
"3909, VIC",368,368,405,394,294,301,127,400,23,32,5197,7901
"3910, VIC",1380,1681,2363,1401,1868,1378,687,1099,93,77,10557,22587
"3911, VIC",202,241,362,152,241,207,98,205,30,21,1656,3413
"3912, VIC",893,1032,1569,860,1094,830,500,835,73,57,7410,15154
"3913, VIC",228,280,347,194,232,176,113,178,16,4,1575,3337
"3915, VIC",389,394,806,512,401,442,302,504,23,35,6148,9960
"3916, VIC",80,107,80,21,48,20,5,24,9,4,564,952
"3918, VIC",214,237,374,206,226,186,113,218,13,8,1904,3704
"3919, VIC",126,169,318,199,153,146,97,211,12,9,1748,3182
"3920, VIC",100,56,360,352,7,3,3,6,17,0,131,1037
"3921, VIC",22,5,0,0,0,0,3,7,0,0,72,114
"3922, VIC",385,410,524,403,294,339,113,353,39,25,4853,7740
"3923, VIC",27,27,44,32,26,29,8,22,0,6,309,516
"3925, VIC",197,298,293,171,155,150,49,139,5,14,1926,3377
"3926, VIC",240,373,230,142,171,118,54,135,14,10,1748,3240
"3927, VIC",109,189,109,84,75,64,24,53,7,3,951,1671
"3928, VIC",43,48,27,21,17,12,9,14,4,0,218,413
"3929, VIC",102,89,51,30,28,34,11,31,10,0,515,906
"3930, VIC",1680,2345,912,749,1075,881,141,383,74,47,9595,17889
"3931, VIC",1328,2043,1663,1291,1323,1116,393,871,81,67,13818,23991
"3933, VIC",124,103,98,47,82,45,16,62,9,3,507,1101
"3934, VIC",1404,2013,1274,938,1098,959,203,570,77,44,9969,18547
"3936, VIC",618,813,864,531,592,525,214,431,50,34,6357,11024
"3937, VIC",154,213,86,68,71,57,15,49,3,5,801,1519
"3938, VIC",147,235,228,115,119,159,40,116,12,12,1646,2820
"3939, VIC",660,790,1125,732,621,672,280,649,33,48,8916,14522
"3940, VIC",113,155,271,207,141,197,74,192,13,15,3548,4930
"3941, VIC",602,749,1097,635,514,524,184,531,35,41,7267,12174
"3942, VIC",133,176,144,84,101,118,20,65,4,12,1458,2317
"3943, VIC",117,137,54,49,71,50,3,46,6,6,1057,1593
"3944, VIC",59,53,11,8,18,16,0,3,8,0,335,510
"3945, VIC",126,77,72,42,43,44,31,47,0,4,477,976
"3946, VIC",29,13,18,9,0,0,6,17,0,0,105,216
"3950, VIC",257,242,323,230,208,204,155,262,12,30,2874,4798
"3951, VIC",147,61,54,43,54,33,34,58,6,0,521,1005
"3953, VIC",646,502,528,337,374,326,241,425,19,16,4456,7859
"3954, VIC",50,32,22,17,28,22,18,16,0,0,199,404
"3956, VIC",275,130,162,94,94,98,51,137,7,8,1763,2818
"3957, VIC",54,10,16,16,11,3,5,17,0,0,143,279
"3958, VIC",60,12,10,11,9,8,4,11,0,0,133,272
"3959, VIC",153,75,51,36,51,20,31,51,0,11,669,1153
"3960, VIC",227,146,128,91,86,80,54,149,3,5,1510,2477
"3962, VIC",75,37,53,43,28,29,34,81,0,0,537,913
"3964, VIC",3,0,14,11,10,6,3,9,3,0,70,133
"3965, VIC",10,3,20,4,12,5,10,17,0,0,135,208
"3966, VIC",85,10,22,14,16,10,21,56,0,0,267,510
"3967, VIC",26,3,9,3,7,0,0,6,0,0,70,127
"3971, VIC",328,196,214,169,148,138,127,231,12,15,2455,4017
"3975, VIC",747,1384,975,739,1056,679,704,752,73,57,8080,15246
"3976, VIC",611,973,1833,1296,1356,922,1571,1808,142,109,14927,25532
"3977, VIC",4464,5756,7283,5097,6245,4461,4608,5085,386,341,49602,93322
"3978, VIC",621,1006,831,593,816,507,408,502,40,58,5267,10648
"3979, VIC",61,24,23,15,7,8,14,16,0,0,154,315
"3980, VIC",192,158,352,145,249,137,179,211,21,9,1703,3350
"3981, VIC",310,205,439,223,274,219,257,334,23,18,2598,4901
"3984, VIC",297,187,361,224,209,229,223,283,19,21,3164,5212
"3987, VIC",106,52,138,71,75,58,86,90,7,5,840,1527
"3988, VIC",134,40,51,37,47,26,59,76,3,8,509,1001
"3990, VIC",18,5,7,7,9,7,10,14,3,0,41,110
"3991, VIC",30,4,32,17,11,19,12,33,0,0,198,357
"3992, VIC",97,54,67,46,45,44,26,78,5,0,504,966
"3995, VIC",425,472,636,499,387,488,219,552,23,31,6444,10171
"3996, VIC",369,488,295,212,203,207,75,183,21,26,3472,5541
"4000, QLD",1217,2992,716,1019,1005,658,151,1068,82,83,7562,16556
"4005, QLD",1888,4457,701,816,1320,815,128,377,105,66,7208,17875
"4006, QLD",1248,2872,761,1015,1208,776,176,568,85,47,5778,14528
"4007, QLD",1323,2248,625,546,1068,682,203,326,93,32,5624,12768
"4008, QLD",13,7,26,12,27,6,35,20,0,3,219,369
"4009, QLD",0,0,0,0,0,0,0,0,0,0,0,4
"4010, QLD",169,453,143,145,214,118,36,92,18,7,898,2300
"4011, QLD",1346,2613,694,745,1275,743,276,501,102,41,6848,15178
"4012, QLD",1675,3542,1333,1176,2049,1053,500,840,126,57,9486,21830
"4013, QLD",333,664,281,245,425,197,149,225,25,17,2004,4570
"4014, QLD",693,1419,842,560,1051,500,379,587,50,38,5788,11910
"4017, QLD",1999,3842,2462,1946,2933,1619,1042,1675,175,99,19079,36870
"4018, QLD",540,1306,680,753,1064,512,396,611,49,37,6201,12155
"4019, QLD",828,1468,1384,1057,1290,782,607,1046,116,61,11474,20105
"4020, QLD",1169,1670,1290,1086,1437,933,504,886,91,66,12906,22041
"4021, QLD",309,487,643,531,576,400,352,573,27,44,5844,9784
"4022, QLD",244,380,412,384,383,323,226,317,24,21,4449,7166
"4025, QLD",35,26,33,44,22,13,5,35,6,0,163,369
"4029, QLD",0,0,0,0,0,0,0,0,0,0,76,77
"4030, QLD",1182,3282,884,968,1389,827,254,638,82,57,6964,16532
"4031, QLD",1081,2315,855,748,1196,651,241,435,79,52,5936,13589
"4032, QLD",809,1871,941,835,1152,713,363,625,58,52,8364,15775
"4034, QLD",2259,4845,2732,2282,3562,2018,1323,1980,202,148,23109,44462
"4035, QLD",1804,3196,1475,1369,2115,1297,401,690,108,64,11698,24212
"4036, QLD",306,541,504,354,575,309,248,345,30,17,3270,6499
"4037, QLD",667,1000,619,450,770,414,132,212,27,27,3650,7972
"4051, QLD",2209,5239,1385,1939,2137,1181,441,791,149,77,11972,27534
"4053, QLD",2841,6312,2818,2668,3645,2008,764,1458,207,111,21145,43984
"4054, QLD",669,1757,924,787,1045,554,239,457,59,25,7091,13619
"4055, QLD",1378,2835,1322,1242,1782,838,320,609,96,48,10088,20561
"4059, QLD",890,2577,516,739,796,633,136,376,58,27,6747,13493
"4060, QLD",1126,2695,539,643,928,545,134,269,41,15,6106,13034
"4061, QLD",1257,2971,717,764,1201,649,171,387,72,31,8469,16689
"4064, QLD",1045,2688,457,591,820,523,71,215,59,26,4332,10836
"4065, QLD",871,2109,343,420,592,372,72,165,50,9,4498,9499
"4066, QLD",1160,3874,609,905,1161,821,160,386,71,22,7536,16697
"4067, QLD",379,1773,166,412,428,378,52,252,38,17,6534,10422
"4068, QLD",1525,4953,811,1213,1424,1047,187,616,117,42,11675,23618
"4069, QLD",2837,6426,1090,1283,2104,1348,232,654,164,69,17427,33623
"4070, QLD",885,1772,692,608,840,528,157,289,67,18,5748,11612
"4072, QLD",22,105,11,210,87,157,4,85,0,0,1462,2153
"4073, QLD",722,1543,396,455,691,403,130,220,46,19,4517,9138
"4074, QLD",1687,3517,1396,1166,1956,1156,478,734,112,62,11471,23730
"4075, QLD",1566,4082,1143,1113,1630,925,362,627,128,58,11713,23352
"4076, QLD",164,363,354,250,230,200,212,317,25,29,5968,8103
"4077, QLD",672,1442,1437,1528,1182,941,1327,1824,123,143,20139,30759
"4078, QLD",1274,2470,1489,1511,1968,1154,1078,1117,118,66,13558,25806
"4101, QLD",1684,4849,947,1257,1463,928,241,741,98,72,10589,22862
"4102, QLD",402,1369,398,454,490,295,95,340,39,25,3738,7656
"4103, QLD",817,2952,749,869,1025,673,287,562,64,44,6262,14315
"4104, QLD",475,1290,253,300,447,254,90,190,15,5,3220,6536
"4105, QLD",825,2328,768,680,967,522,292,535,76,35,6294,13322
"4106, QLD",77,137,114,86,86,58,72,101,10,8,840,1595
"4107, QLD",320,884,427,298,439,209,171,299,28,21,3188,6288
"4108, QLD",199,591,343,298,361,269,215,369,33,22,3323,6023
"4109, QLD",1644,3616,1975,1796,2022,1688,900,1897,184,155,21718,37605
"4110, QLD",450,780,614,518,690,388,475,583,63,40,6319,10916
"4111, QLD",49,128,55,79,80,60,25,49,10,0,656,1182
"4112, QLD",459,998,377,346,498,361,201,292,44,16,4517,8108
"4113, QLD",1425,3433,1698,1337,1975,1362,878,1636,147,110,15903,29915
"4114, QLD",418,743,1299,1104,886,756,1409,1896,111,133,20307,29063
"4115, QLD",1038,1981,1280,933,1665,1030,696,838,101,74,9690,19309
"4116, QLD",1403,3042,1458,1173,1857,1281,747,1071,150,97,13645,25936
"4117, QLD",56,92,92,79,95,55,81,74,3,3,734,1365
"4118, QLD",1280,1621,2258,1583,2302,1500,1962,1760,156,109,15872,30398
"4119, QLD",336,694,406,285,506,275,209,263,38,25,3307,6344
"4120, QLD",607,1804,566,518,709,404,184,420,51,22,3656,8934
"4121, QLD",1794,4577,1310,1154,1788,993,384,743,112,56,12350,25269
"4122, QLD",2357,5952,2356,2125,3127,1996,853,1639,225,107,23102,43850
"4123, QLD",1038,2209,1276,893,1522,798,536,767,87,52,9303,18489
"4124, QLD",978,1006,1715,864,1497,875,1041,1023,105,67,10494,19675
"4125, QLD",342,346,611,274,485,286,378,315,17,24,4061,7144
"4127, QLD",1179,2189,1773,1235,1823,1126,966,1327,112,108,14535,26375
"4128, QLD",1003,1607,1411,847,1474,943,553,734,91,67,7779,16510
"4129, QLD",276,390,594,332,501,328,278,367,28,19,3196,6303
"4130, QLD",652,814,767,477,734,484,214,332,31,16,4005,8533
"4131, QLD",288,503,624,525,553,402,541,621,43,36,6303,10435
"4132, QLD",561,753,1352,1228,1232,910,1738,1745,111,88,16501,26216
"4133, QLD",681,899,1236,873,1082,715,889,1069,79,64,10190,17769
"4151, QLD",1226,3339,910,874,1362,752,230,517,78,47,6947,16285
"4152, QLD",3468,7136,2329,2057,3740,2242,750,1375,229,105,21258,44685
"4153, QLD",325,610,284,188,400,243,107,170,20,14,2016,4372
"4154, QLD",1024,1500,584,492,974,516,223,279,38,32,5302,10972
"4155, QLD",125,167,71,57,128,75,21,59,12,3,734,1440
"4156, QLD",266,460,161,142,249,159,48,92,18,11,1541,3147
"4157, QLD",1046,1530,1707,977,1572,942,729,1066,93,76,9309,19037
"4158, QLD",183,336,283,207,307,187,130,170,18,11,1927,3764
"4159, QLD",845,1240,1145,781,1177,689,469,665,43,45,7403,14498
"4160, QLD",1344,1972,1207,945,1503,945,439,713,64,41,8969,18140
"4161, QLD",717,1199,1479,970,1331,844,632,938,85,45,8002,16251
"4163, QLD",1023,1251,884,713,1011,693,317,604,62,29,8209,14798
"4164, QLD",1073,1365,1179,786,1272,743,377,636,53,35,7178,14694
"4165, QLD",2251,2756,2919,1960,2779,1741,1100,1705,164,106,19329,36814
"4169, QLD",1175,2735,782,853,1112,687,205,579,100,38,5726,13995
"4170, QLD",2098,4411,1497,1229,2089,1138,404,894,128,81,10543,24516
"4171, QLD",1788,3017,663,660,1215,733,179,314,93,48,7018,15722
"4172, QLD",349,557,289,227,375,179,128,205,34,18,1941,4301
"4173, QLD",496,840,615,439,718,417,293,411,53,28,3981,8289
"4174, QLD",120,191,157,117,224,114,128,187,18,16,1122,2382
"4178, QLD",1441,2425,1653,1277,1878,1090,926,1201,103,81,13144,25212
"4179, QLD",1347,2119,1296,904,1530,829,472,715,92,56,9924,19292
"4183, QLD",110,145,121,88,79,65,76,135,8,9,1278,2105
"4184, QLD",144,241,240,229,177,200,146,240,25,20,5246,6909
"4205, QLD",152,217,285,236,266,207,209,256,22,13,3524,5383
"4207, QLD",2236,2693,4068,2490,3336,2347,2489,3304,247,181,31812,55212
"4208, QLD",1123,1426,1672,959,1536,953,751,999,94,79,10367,19967
"4209, QLD",2687,3330,3842,2781,3178,2709,1780,2648,229,140,26743,50069
"4210, QLD",1200,1529,1660,1102,1455,1084,582,913,89,69,9787,19477
"4211, QLD",3247,4540,4783,3434,4065,3400,1834,3188,310,211,31796,60803
"4212, QLD",2153,2330,1750,1280,2008,1625,613,1005,180,74,15039,28053
"4213, QLD",1731,2752,2263,1605,1915,1542,663,1291,156,82,15028,29040
"4214, QLD",1945,3330,2557,2097,2376,2268,872,1860,191,132,19626,37236
"4215, QLD",2037,3947,3031,3062,2497,2604,1089,2596,226,184,28894,50173
"4216, QLD",2202,2810,2285,1801,2417,2083,779,1405,151,122,21368,37434
"4217, QLD",2885,3716,2198,2409,2293,2644,725,1968,213,149,21648,40836
"4218, QLD",2287,3376,2218,2011,2100,1912,527,1361,189,100,15790,31868
"4220, QLD",1981,3396,2243,1873,1989,1814,567,1237,131,101,15899,31236
"4221, QLD",1455,2522,2069,1637,1600,1481,529,1139,122,84,14164,26801
"4222, QLD",0,0,0,0,0,0,0,0,0,0,0,0
"4223, QLD",778,1315,1033,779,862,734,281,618,70,39,7387,13896
"4224, QLD",331,632,496,427,379,344,151,289,28,28,3479,6590
"4225, QLD",387,643,489,503,370,371,143,346,25,26,4445,7754
"4226, QLD",1961,2992,1960,1902,2217,2118,584,1223,160,108,17020,32244
"4227, QLD",1222,2196,1454,1330,1411,1384,456,924,92,55,11163,21689
"4228, QLD",332,525,422,276,352,233,110,250,41,16,2727,5298
"4229, QLD",5,12,0,28,6,31,0,4,0,0,300,385
"4230, QLD",101,187,87,89,120,122,27,67,9,3,855,1672
"4270, QLD",249,255,358,161,300,176,168,217,17,16,2024,3944
"4271, QLD",146,306,181,146,139,127,39,113,15,13,1668,2895
"4272, QLD",323,476,233,204,209,155,72,151,19,13,2765,4611
"4275, QLD",262,229,319,188,204,111,108,190,19,12,1788,3430
"4280, QLD",768,878,1501,826,1314,723,916,938,95,68,8841,16867
"4285, QLD",1052,972,1488,924,1120,752,884,1245,65,52,11699,20251
"4287, QLD",73,19,40,28,24,10,28,54,0,0,545,824
"4300, QLD",2659,4489,3749,3101,4056,2474,2428,2794,272,181,29473,55666
"4301, QLD",811,1099,1660,1467,1602,1093,1623,1875,143,109,16761,28239
"4303, QLD",59,91,136,154,135,84,158,248,18,12,2852,3946
"4304, QLD",534,897,995,866,966,684,750,1091,76,81,10395,17319
"4305, QLD",2096,3733,3996,3626,3588,2643,2341,3389,292,159,36682,62554
"4306, QLD",2123,2990,2739,1987,2578,1469,1303,1667,174,94,18670,35798
"4307, QLD",158,64,127,87,104,60,70,115,3,11,762,1553
"4309, QLD",238,123,200,130,155,99,108,220,4,12,1720,3006
"4310, QLD",334,329,350,262,275,199,192,409,8,13,3382,5756
"4311, QLD",483,374,630,424,423,311,462,657,30,40,6779,10601
"4312, QLD",126,98,101,101,86,76,76,143,8,5,1851,2668
"4313, QLD",152,88,110,73,85,75,88,122,7,8,1523,2324
"4340, QLD",291,246,417,272,253,202,226,313,19,15,3200,5449
"4341, QLD",626,651,881,693,659,512,674,836,49,48,8964,14589
"4342, QLD",139,95,165,107,112,84,135,209,9,15,1547,2621
"4343, QLD",707,473,540,399,476,380,436,1164,34,30,6712,11359
"4344, QLD",175,144,198,110,146,85,104,187,10,5,1462,2624
"4345, QLD",4,5,0,21,6,14,0,13,0,0,265,329
"4346, QLD",44,55,57,50,49,27,44,61,4,0,475,873
"4347, QLD",83,50,69,39,56,31,45,108,3,8,703,1187
"4350, QLD",4633,9878,6872,5566,6515,4620,2821,5409,313,273,59853,106746
"4352, QLD",1984,2538,2292,1427,1928,1151,926,1241,92,67,14814,28459
"4353, QLD",38,14,32,12,17,7,18,10,0,4,153,293
"4354, QLD",57,59,95,48,63,27,62,81,3,7,695,1196
"4355, QLD",136,102,150,114,98,66,75,127,12,8,1784,2681
"4356, QLD",457,230,378,159,250,146,227,404,14,11,2897,5184
"4357, QLD",213,59,151,78,89,66,130,241,3,11,1541,2585
"4358, QLD",194,171,176,102,126,82,80,129,3,9,1193,2264
"4359, QLD",114,73,119,57,75,43,38,76,5,0,649,1240
"4360, QLD",66,31,38,25,27,25,30,32,0,7,317,590
"4361, QLD",293,123,146,90,117,54,89,164,7,14,1556,2660
"4362, QLD",206,132,157,96,110,70,77,147,9,13,1450,2464
"4363, QLD",50,36,55,19,37,14,26,42,0,0,311,600
"4364, QLD",51,4,5,7,10,6,14,7,0,0,107,218
"4365, QLD",27,22,27,14,15,14,16,34,3,3,330,507
"4370, QLD",988,952,1024,811,865,786,668,1335,53,80,10958,18526
"4371, QLD",83,38,39,32,34,29,32,51,4,0,370,710
"4372, QLD",15,4,17,10,8,5,8,13,3,0,75,163
"4373, QLD",78,32,53,43,44,37,52,62,0,0,637,1033
"4374, QLD",31,21,22,12,10,18,14,27,0,0,204,358
"4376, QLD",24,10,5,8,13,7,10,40,0,3,206,319
"4378, QLD",52,22,27,36,15,14,19,37,0,5,297,510
"4381, QLD",45,31,31,20,23,21,22,40,0,0,359,598
"4382, QLD",77,28,17,14,16,12,10,46,5,0,285,518
"4384, QLD",10,0,0,0,3,3,0,3,0,0,39,62
"4387, QLD",115,40,47,58,51,31,61,139,4,6,731,1287
"4388, QLD",37,8,4,16,11,7,18,26,0,0,281,418
"4390, QLD",533,449,492,310,398,311,317,401,34,20,3611,6877
"4400, QLD",83,80,169,111,105,77,107,135,8,0,1009,1889
"4401, QLD",337,182,366,249,230,171,265,664,17,22,3218,5720
"4402, QLD",35,4,12,3,9,6,9,14,5,0,194,291
"4403, QLD",169,23,38,18,39,12,47,46,5,5,414,810
"4404, QLD",129,26,24,14,35,17,23,36,0,5,234,539
"4405, QLD",891,862,1172,531,836,664,603,793,43,51,8047,14486
"4406, QLD",323,48,75,37,52,19,47,101,6,8,757,1466
"4407, QLD",80,21,15,16,28,11,56,34,0,3,267,529
"4408, QLD",85,24,34,25,23,14,25,39,5,3,355,630
"4410, QLD",97,33,58,46,42,21,50,56,5,3,717,1124
"4411, QLD",43,12,13,5,20,5,9,17,0,0,164,291
"4412, QLD",46,10,7,4,5,4,8,8,0,0,86,191
"4413, QLD",521,386,617,258,384,284,374,468,31,34,4664,8025
"4415, QLD",126,93,139,103,92,83,113,100,4,5,1131,1987
"4416, QLD",110,17,15,19,19,5,18,73,0,5,228,502
"4417, QLD",102,27,24,31,31,12,29,64,4,6,337,666
"4418, QLD",30,0,0,5,6,0,3,9,0,0,49,109
"4419, QLD",179,46,69,25,33,15,78,95,8,5,396,946
"4420, QLD",225,59,47,42,43,28,56,114,4,6,548,1174
"4421, QLD",106,68,78,86,56,53,72,110,0,4,1841,2480
"4422, QLD",96,15,10,19,21,4,24,39,0,3,255,485
"4423, QLD",74,10,5,5,6,0,10,23,0,0,71,198
"4424, QLD",51,14,7,12,11,7,10,11,0,0,123,236
"4425, QLD",42,9,5,7,11,3,4,19,0,0,117,220
"4426, QLD",27,4,5,4,11,0,3,10,0,0,62,126
"4427, QLD",52,9,13,8,13,0,24,23,0,0,211,352
"4428, QLD",116,26,35,24,38,20,44,32,3,5,336,664
"4454, QLD",128,33,31,20,33,12,43,77,3,3,322,703
"4455, QLD",706,633,652,403,593,358,378,493,35,17,4215,8488
"4461, QLD",20,3,3,0,0,0,0,0,0,0,19,52
"4462, QLD",19,4,5,0,0,0,0,11,0,0,60,108
"4465, QLD",178,44,57,57,35,46,60,87,5,4,652,1235
"4467, QLD",63,7,9,5,9,3,3,22,0,0,79,198
"4468, QLD",58,4,10,7,8,0,4,27,0,4,118,253
"4470, QLD",290,255,209,190,181,132,97,312,14,13,1889,3574
"4472, QLD",173,57,80,74,61,63,42,113,4,16,751,1429
"4474, QLD",27,5,0,0,3,0,0,12,0,0,43,89
"4475, QLD",0,0,0,0,0,0,0,0,0,0,0,0
"4477, QLD",53,18,16,17,15,9,20,64,0,3,247,471
"4478, QLD",84,25,18,15,22,15,27,49,0,4,218,472
"4479, QLD",6,0,0,0,0,0,0,0,0,0,3,15
"4480, QLD",90,34,65,42,47,17,46,70,9,5,327,755
"4481, QLD",22,3,13,4,11,0,10,17,0,3,50,124
"4482, QLD",14,4,7,14,11,11,10,20,0,0,56,141
"4486, QLD",123,23,16,18,20,8,38,73,4,4,367,709
"4487, QLD",325,210,184,151,175,136,116,216,9,7,1569,3098
"4488, QLD",64,10,11,8,9,0,4,25,0,0,120,254
"4489, QLD",25,8,0,5,4,0,0,10,0,0,49,94
"4490, QLD",174,71,67,62,67,27,39,71,6,3,826,1425
"4491, QLD",35,4,9,4,0,0,0,5,3,0,34,90
"4492, QLD",58,11,21,7,28,9,27,29,3,3,115,302
"4493, QLD",4,3,0,0,0,0,0,5,0,0,10,21
"4494, QLD",41,8,0,7,8,0,7,18,0,0,73,151
"4496, QLD",50,6,7,8,10,3,21,26,0,0,136,264
"4497, QLD",88,13,3,9,11,9,11,39,0,5,151,329
"4498, QLD",47,3,4,6,8,0,17,23,0,0,102,219
"4500, QLD",2312,3408,3333,2614,3643,2074,1484,1984,189,145,21218,42403
"4501, QLD",180,356,428,321,418,215,237,329,30,23,3111,5660
"4502, QLD",405,738,669,508,772,458,288,407,48,23,4358,8676
"4503, QLD",2076,2989,3274,2618,3389,2151,1773,2158,203,130,22896,43648
"4504, QLD",992,1438,1575,1050,1508,1018,621,823,111,45,9398,18575
